,embed,gemma,llama2,llama3,llama3-70b,mistral,vicuna
132,qa-cos,0.3762082257278286,0.8552649672910411,0.7586782478535213,0.790584428634928,0.7301335147326933,0.899105230174329
133,qa-cos,0.6347560273718436,0.7886746541657366,0.7699259328168203,0.7512563263306256,0.8087901015674985,0.9125058989719574
134,qa-cos,0.75112431352713,0.8464035636252205,0.7797681847293692,0.8409435262346556,0.8455496395261086,0.8994414192199065
135,qa-cos,0.717583492235623,0.8249923919597235,0.8603734166435799,0.9118526823255658,0.8704833858087764,0.8532515620077255
136,qa-cos,0.5022487583046931,0.5200328654813217,0.8267901664666977,0.7427215290430964,0.612108161128169,0.7130428790398213
137,qa-cos,0.2347498920349988,0.8478153029394553,0.3449854734660161,0.3995004014743285,0.7346738250968895,0.7351487203223876
138,qa-cos,0.6234422868484135,0.7854115203514769,0.8708627138800028,0.7979978810439254,0.7216134839475974,0.7750072912159536
139,qa-cos,0.1003121311460709,0.1036168725203036,0.0886747714348287,0.0962096624303547,0.1020848702486914,0.1173538245137594
140,qa-cos,0.524789918973907,0.5352871184299999,0.621911064283968,0.5835380108125297,0.5776932586966201,0.6935882468538782
141,qa-cos,0.3759973813681148,0.2143456958315549,0.3102313787445278,0.359550921556335,0.3987522084490738,0.4208463227311414
142,qa-cos,0.1900370617449041,0.0933154471606316,0.1580988975169712,0.2299299323078567,0.0740619688069838,0.0720586201708782
143,qa-cos,0.913326083124508,0.9637091874670034,0.9663157705443116,0.8911824622376994,0.9743780493615832,0.9672894962172148
144,qa-cos,0.5797542491930016,0.6548139569112027,0.7422360774777916,0.7762254560151822,0.7843368968234874,0.5400545548123858
145,qa-cos,0.8617115240535966,0.7588762776186819,0.7755547787899331,0.831899801340179,0.8192079491985174,0.8460531548299469
146,qa-cos,0.9085358745489944,0.9847246496582808,0.8959325629988265,0.9797098341721148,0.9660583472228796,0.854592636757657
147,qa-cos,0.9335859882320358,0.9079826568664776,0.9295831687121257,0.94806834777064,0.9583307011290328,0.8911228902696989
148,qa-cos,0.7562419774849964,0.8814922877337357,0.8618223075946692,0.861692805433118,0.8751141523841823,0.8913917261944377
149,qa-cos,0.8858658104611716,0.860666981260973,0.8870449099595321,0.8725103466788848,0.8701571987634732,0.8718115744437632
150,qa-cos,0.7499318843832061,0.834622866961285,0.8075561815266856,0.7444991474851708,0.7132948843785608,0.6131039147907709
151,qa-cos,0.864999348166249,0.8293688289055229,0.8620542361296322,0.8672065579493176,0.8343307487391975,0.8720146320077315
152,qa-cos,0.577451025531202,0.6646386951207512,0.6254834441164459,0.6457633719446813,0.5063293523176483,0.6594317140498833
153,qa-cos,0.9187638033062816,0.933950567217285,0.9235916037731438,0.914678038262673,0.8159462196823624,0.942465986828358
154,qa-cos,0.9218129549487116,0.9264838447037904,0.9352010267569132,0.9313844828422416,0.8985334153217903,0.8505890028602832
155,qa-cos,0.8127035490627568,0.8663157454310607,0.7798856053209926,0.8605308185125758,0.876481360437139,0.8494124370575777
156,qa-cos,0.818120030129485,0.8246997367755269,0.8220970789910513,0.8950524925407868,0.8206939824497956,0.8718517309714328
157,qa-cos,0.6564932468588529,0.7985005030921297,0.842699120605993,0.8520920756635951,0.6437633396640323,0.6366660311406367
158,qa-cos,0.9275777164211824,0.9262433043000426,0.9506737392927418,0.9338652108833956,0.8743780425400194,0.9096132364287264
159,qa-cos,0.730000824293449,0.7205453321590651,0.6707925471101374,0.6500932697109038,0.7445125653298591,0.682537255871229
160,qa-cos,0.8808233419343061,0.9099023927482636,0.9209000327417178,0.8327894640867832,0.9220077597117888,0.9219228467478352
161,qa-cos,0.7523388926265956,0.6777884241321674,0.8222526404028506,0.7444735771865734,0.6663360184694425,0.7127180968335541
162,qa-cos,0.863938048035952,0.8058705298681956,0.8482871643871126,0.8832426992761833,0.8534948791661451,0.8593482188817816
163,qa-cos,0.9316300013776444,0.9182519556670664,0.8927564092591382,0.9280976414829852,0.8678245103159388,0.874957268874661
164,qa-cos,0.7532049057762269,0.9046643459266036,0.8932682616564349,0.947451204243316,0.9376187391893238,0.944678753872281
165,qa-cos,0.6233223461778736,0.6426002611967068,0.8141293610354183,0.675499686924192,0.7438555048428549,0.7036536111473061
166,qa-cos,0.5796657686437261,0.710258959346357,0.5830697698046267,0.5987231292471673,0.4815050896950245,0.7219960932953268
167,qa-cos,0.8523336135792334,0.7632493447563289,0.8117996185076002,0.6832257163852651,0.8484115976369189,0.8375027649792248
168,qa-cos,0.6058197403839483,0.5269376707885393,0.8012928498949882,0.5101923409454308,0.7277522150365746,0.7008020772084878
169,qa-cos,0.7368971655515729,0.823559662110978,0.8268461265858228,0.8335139666327084,0.7857205660424426,0.8266338325862305
170,qa-cos,0.7614654042348316,0.8645827426691823,0.9060016598741406,0.9164217629921528,0.8312797747335432,0.9374004434658564
171,qa-cos,0.7087766528182773,0.8092135648603433,0.893020308111977,0.8882510021746592,0.8712687781830235,0.8236662683833933
172,qa-cos,0.8995748099647356,0.933141954544207,0.9299177819183804,0.9305429726520438,0.9164124999404836,0.868349401347337
173,qa-cos,0.9134661950689492,0.9823732131775628,0.8498744374639968,0.8801905766124504,0.7849966353961697,0.9526694037495584
174,qa-cos,0.846289225795239,0.766316926293313,0.9038732127826358,0.86921861614636,0.8970600519801404,0.8685788866019627
175,qa-cos,0.5656774238958369,0.4386423470858538,0.605286413292264,0.5223559191171694,0.4898085226119792,0.4342887762769957
176,qa-cos,0.930555174348842,0.9003181565642353,0.9301724628554128,0.9332194424942418,0.8557722114066812,0.8747760879232015
177,qa-cos,0.903753432106604,0.8506338913367192,0.8214043035637588,0.8895545770991066,0.6793322133556919,0.7584509735592898
178,qa-cos,0.8402694129152468,0.8565740954481772,0.8647749544583173,0.6843153463138343,0.7655166899281349,0.8874448094014578
179,qa-cos,0.7515441660920061,0.7438046461368704,0.7177233080282424,0.702796276152087,0.7290139353231018,0.4724241747047439
180,qa-cos,0.8482396097930468,0.8115028405930763,0.7747750710616453,0.8223486691039276,0.7176144145308891,0.7236000094036071
181,qa-cos,0.7984424920366129,0.9166829485174935,0.935392715104504,0.9313375210165512,0.8552335510032261,0.922578601288786
182,qa-cos,0.9522892782324522,0.9361238592921974,0.9630512521319246,0.948196106948698,0.9465476541246708,0.9679901686967832
183,qa-cos,0.8910546969798623,0.8566987344148606,0.9021678686731064,0.8427724867024473,0.8230254531085456,0.7529694982894696
184,qa-cos,0.8835970503879537,0.7702468618687729,0.819657481472939,0.8646055911992433,0.9219168983442456,0.9291677025115622
185,qa-cos,0.8504013150424174,0.8657006807869244,0.9035700526983942,0.8491663588715717,0.9034971041115856,0.2455170610241917
186,qa-cos,0.8664799406639887,0.8221126100392364,0.8423327196049638,0.8777124634220672,0.7992561285870599,0.7967561301729194
187,qa-cos,0.9448452065398388,0.9453676943538718,0.9639290542045456,0.9831140300838151,0.9630123529129606,0.9080374096627936
188,qa-cos,0.6746478639508431,0.917845892409376,0.8551606292901167,0.872972908160371,0.672375620609867,0.8121137723122305
189,qa-cos,0.3703775427980774,0.6903532693186564,0.7226728365025165,0.6664346793317641,0.7168984858487952,0.8874096327649903
190,qa-cos,0.7044756740682048,0.947920309442846,0.9463653769205108,0.9096996830045871,0.945763474312029,0.9186042564680944
191,qa-cos,0.3011344736420756,0.7721144164533079,0.8417601834404334,0.8624644229954921,0.8127519714701876,0.8186729013910611
192,qa-cos,0.5741699902659082,0.5595351540161442,0.5719688933221336,0.5656211365963475,0.5912770187584517,0.5221942222494427
193,qa-cos,0.8984965181574212,0.9124555660632764,0.9176245524206768,0.9161352492572208,0.9267150777450888,0.8605734793038822
194,qa-cos,0.7070147310843259,0.5617807445968261,0.624213161050766,0.6471009561397529,0.6898383658301664,0.7221274871007132
195,qa-cos,0.8419607194832199,0.8736713963738512,0.851289166103421,0.714737212657996,0.9145228357845234,0.8394266292917825
196,qa-cos,0.7193111066218364,0.7453160778798469,0.779265388914214,0.7626693277919605,0.5266472821204287,0.4919768903323253
